State,City,PD,ORI,Black People Killed by Police (1/1/2013-12/31/2020),Hispanic People Killed by Police (1/1/2013-12/31/2020),Native American People Killed by Police (1/1/2013-12/31/2020),Asian People Killed by Police (1/1/2013-12/31/2020),Pacific Islanders Killed by Police (1/1/2013-12/31/2020),White People Killed by Police (1/1/2013-12/31/2020),Unknown Race People Killed by Police (1/1/2013-12/31/2020),All People Killed by Police (1/1/2013-12/31/2020),Allegedly Armed People Killed by Police (1/1/2013-12/31/2019),Unarmed/Did Not Have an Actual Weapon People Killed by Police (1/1/2013-12/31/2019),Unclear Armed Status People Killed by Police (1/1/2013-12/31/2019),People Armed with Vehicle Killed by Police (1/1/2013-12/31/2019),Total Population (Census ACS 5 Year 2018),Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Violent crimes 2019 (if reported by agency),Average Violent Crimes Reported 2013-19,Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,2019 Total Arrests,Estimated Average Arrests per Year 2013-2019,Killings by Police per 10k Arrests
Alabama,Birmingham,Birmingham Police Department,AL0010200,5,,,,,3,,8,6,2,,,"212,021","148,967","49,614",459,"1,955",42,1997,168,"3,005","7,811",62.56,4.7,4.2,7.6,0.0,0.56,0.00,2852,3369,3707,,,4025,,3488.3,16.5,,,3,3738,,4920,,2887,27.7
Massachusetts,Boston,Boston Police Department,MA0130100,9,1,,1,,1,1,13,12,1,,,"679,413","154,363","302,427","1,405","64,939",225,65164,"5,973","16,188","133,893",69.17,2.4,7.3,0.4,0.9,17.63,2.26,5037,4749,4702,4767,4570,4324,4244,4627.6,6.8,12716,13647,11423,10247,9994,8843,7211,10228,12.7
New York,Buffalo,Buffalo Police Department,NY0140100,1,2,,,,,,3,2,1,,,"257,518","91,978","112,762","1,004","14,252",114,14366,445,"7,106","29,857",65.89,1.5,1.4,0.0,8.4,No White People were Killed by Police,No White People were Killed by Police,3249,3174,2887,2857,2611,2692,2533,2857.6,11.1,14774,12893,10163,9421,10085,10743,9675,10497,2.9
Arizona,Chandler,Chandler Police Department,AZ0070500,,4,,,,3,,7,4,1,,2,"248,631","12,599","146,034","3,290","25,504",372,25876,318,"7,452","53,062",17.24,3.5,0.0,2.6,9.4,0.00,3.67,575,466,490,558,647,606,594,562.3,2.3,6257,6105,6368,6115,6660,6538,6231,6336,11.0
North Carolina,Charlotte,Charlotte-Mecklenburg Police Department,NC0600100,12,2,,,1,5,1,21,18,1,2,,"841,611","290,429","353,013","2,135","54,822",447,55269,"2,809","20,348","117,608",53.40,3.1,5.2,1.8,2.1,2.92,1.20,5093,5054,5948,6560,6304,6482,6982,6060.4,7.2,19087,23669,25309,23740,23632,22021,21651,23337,9.0
Virginia,Chesapeake,Chesapeake Police Department,VA1030000,2,,,,,,,2,2,,,,"237,820","69,494","137,582",417,"7,636",204,7840,828,"7,539","14,120",41.66,1.1,3.6,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,737,991,897,969,1006,979,1113,956.0,4.0,9168,8076,5914,3497,4080,5169,5533,5378,3.7
Illinois,Chicago,Chicago Police Department,ILCPD0000,61,17,,,,3,1,82,58,10,9,5,"2,718,555","808,165","892,323","3,160","172,991",400,173391,"5,426","47,950","788,140",82.48,3.8,9.4,0.4,2.7,22.45,6.42,25688,24133,24698,30193,29737,27420,25532,26771.6,9.8,112862,100346,84215,61507,57523,78737,,76466,10.7
California,Chula Vista,Chula Vista Police Department,CA0370200,,1,,,,1,1,3,3,,,,"266,468","10,563","47,770",144,"41,209","1,455",42664,736,"7,877","156,714",22.05,1.4,0.0,2.6,0.8,0.00,0.30,595,612,705,696,808,835,904,736.4,2.8,3935,3426,4022,4601,4118,4213,4061,4074,7.4
Ohio,Cincinnati,Cincinnati Police Department,OHCIP0000,8,1,,,,3,,12,9,3,,,"300,357","127,424","144,887",240,"6,008",218,6226,806,"9,713","11,061",53.42,5.0,7.8,2.6,11.3,3.03,4.37,2826,2695,2761,2720,2833,2535,2563,2704.7,9.0,,,,,6971,6704,6687,6787,17.7
Ohio,Cleveland,Cleveland Division of Police,OHCLP0000,10,,,,,1,,11,5,5,,1,"387,398","189,775","130,659",629,"9,043",60,9103,1187,"11,218","44,827",69.02,3.5,6.6,1.0,0.0,6.88,0.00,5751,5186,,6299,5999,5576,5791,5767.0,14.9,9210,8484,6426,3871,4390,3824,4055,5175,21.3
Colorado,Colorado Springs,Colorado Springs Police Department,CO0210100,4,2,,,,12,1,19,15,4,,,"457,502","26,815","314,218","1,345","13,552","1,042",14594,1073,"18,599","80,858",34.71,5.2,18.6,4.8,3.1,3.91,0.65,1893,2039,1983,2301,2479,2617,2815,2303.9,5.0,17099,20308,22018,20474,21460,16713,19273,20041,9.5
Ohio,Columbus,Columbus Division of Police,OHCOP0000,31,,,,,12,1,44,33,4,6,1,"867,628","243,832","485,217","1,282","49,361",382,49743,"2,328","33,675","51,551",53.80,6.3,15.9,3.1,0.0,5.14,0.00,1022,4563,4631,4500,4478,4416,4561,4024.4,4.6,12690,8578,9893,10046,9365,10955,11408,10041,43.8
Texas,Corpus Christi,Corpus Christi Police Department,TX1780200,1,8,,,,1,,10,8,2,,,"324,692","12,907","96,625",778,"7,053",242,7295,190,"2,710","204,187",40.15,3.8,9.7,1.3,4.9,7.49,3.79,1939,2094,2092,2328,2313,2488,2618,2267.4,7.0,16900,17443,19962,19747,16655,16238,12250,17049,5.9
Texas,Dallas,Dallas Police Department,TXDPD0000,17,11,,,,12,1,41,30,7,1,3,"1,318,806","315,564","382,778","1,914","44,017",487,44504,"2,276","21,376","550,394",66.13,3.9,6.7,3.9,2.5,1.72,0.64,8330,8457,9038,10071,10369,10422,11764,9778.7,7.4,46332,33225,26999,34498,31372,29721,32469,31381,13.1
District of Columbia,Washington,DC Metropolitan Police Department,DCMPD0000,17,,,,,1,3,21,17,2,1,1,"684,498","315,281","248,057","1,314","26,278",280,26558,"2,648","15,864","74,776",72.18,3.8,6.7,0.5,0.0,13.38,0.00,7880,7810,8084,7711,6584,6613,6896,7368.3,10.8,12148,12933,15274,21741,22238,20191,,18475,11.4
Colorado,Denver,Denver Police Department,CODPD0000,5,16,2,2,,11,2,38,29,3,4,2,"693,417","62,617","372,710","3,359","25,698",835,26533,"1,455","16,884","209,859",54.69,6.9,10.0,3.7,9.5,2.71,2.58,4087,3983,4599,4597,4774,5262,5459,4680.1,6.7,22328,29740,31952,29976,29348,29490,26585,29515,12.9
Michigan,Detroit,Detroit Police Department,MI8234900,13,1,,,,1,4,19,17,1,,1,"677,155","530,335","69,663","1,863","10,601",164,10765,1822,"11,198","51,509",59.17,3.5,3.1,1.8,2.4,1.71,1.35,14504,13616,11846,13705,13796,13478,13041,13426.6,19.8,14728,13379,10846,10879,9674,10613,11909,11217,16.9
North Carolina,Durham,Durham Police Department,NC0320100,5,1,,,,1,,7,5,1,1,,"264,310","102,390","102,686",660,"14,007",98,14105,680,"6,560","37,229",47.92,3.3,6.1,1.2,3.4,5.01,2.76,,1834,2185,,,,2047,2022.0,7.7,5793,5699,4676,3546,3772,4596,5902,4699,14.9
Texas,El Paso,El Paso Police Department,TX0710200,2,8,,,,5,2,17,11,3,2,1,"680,354","22,898","89,502","1,452","8,506",979,9485,415,"5,892","550,710",30.84,3.1,10.9,7.0,1.8,1.56,0.26,2522,2671,2515,2682,2609,2554,2423,2568.0,3.8,20469,19539,18248,16874,16838,16264,15885,17275,9.8
Indiana,Fort Wayne,Fort Wayne Police Department,IN0020100,5,1,,,,3,,9,9,,,,"264,052","38,471","178,918",441,"12,186",117,12303,188,"10,344","23,387",54.29,4.3,16.2,2.1,5.3,7.75,2.55,949,816,984,1040,952,1024,975,962.9,3.6,,5331,5161,5306,5694,5897,5986,5563,16.2
Texas,Fort Worth,Fort Worth Police Department,TX2201200,9,5,,,,7,6,27,21,3,,3,"855,786","159,175","337,915","2,227","35,175",614,35789,1527,"19,528","299,625",54.99,3.9,7.1,2.6,2.1,2.73,0.81,4440,4492,4382,4515,5359,4835,4070,4584.7,5.4,32663,19398,26579,24512,23120,20005,16543,21693,12.4
California,Fremont,Fremont Police Department,CA0010500,1,1,,2,,1,2,7,5,2,,,"233,083","6,964","48,216",853,"135,753","2,081",137834,731,"7,849","30,636",22.04,3.8,17.9,2.6,4.1,6.92,1.57,273,284,337,420,431,502,400,378.1,1.6,2913,3040,2614,2422,2405,2741,2220,2574,27.2
California,Fresno,Fresno Police Department,CA0100500,1,16,,2,,5,2,26,18,8,,,"522,277","37,601","141,299","2,426","70,283",412,70695,1068,"11,358","257,830",42.01,6.2,3.3,4.4,7.8,0.75,1.75,2552,2382,2871,3206,2974,2953,2458,2770.9,5.3,30580,32118,25068,19212,19070,22527,,23599,11.0
Texas,Garland,Garland Police Department,TX0571100,2,1,,2,,3,1,9,8,,,1,"237,982","32,895","70,466",580,"26,019",47,26066,593,"5,497","101,885",25.05,4.7,7.6,5.3,1.2,1.43,0.23,514,644,709,767,748,659,738,682.7,2.9,8597,8147,7614,6973,6958,7060,7511,7377,12.2
Arizona,Glendale,Glendale Police Department,AZ0071300,2,5,,,,6,,13,12,,1,,"245,514","16,023","117,173","2,528","11,341",421,11762,426,"6,389","91,213",39.14,6.6,15.6,6.4,6.9,2.44,1.07,905,186,943,1204,1217,1167,863,926.4,3.8,4530,3477,3693,,2949,5405,,3881,33.5
North Carolina,Greensboro,Greensboro Police Department,NC0410200,1,,,1,,1,,3,3,,,,"288,719","119,350","124,709","1,170","13,668",164,13832,1337,"6,697","21,624",56.62,1.3,1.0,1.0,0.0,1.04,0.00,1449,1346,1707,,,,2440,1735.5,6.0,18014,16273,13601,11536,13247,10665,7973,12216,2.5
Nevada,Henderson,Henderson Police Department,NV0020300,2,2,,,,5,2,11,10,1,,,"291,346","15,632","192,405","1,032","22,409","1,217",23626,799,"10,163","47,689",20.75,4.7,16.0,3.2,5.2,4.92,1.61,367,452,476,617,554,583,543,513.1,1.8,9279,9139,9240,9846,9414,12111,12598,10391,10.6
Florida,Hialeah,Hialeah Police Department,FL0130400,1,2,,,,1,2,6,3,1,1,1,"237,285","1,509","6,334",13,1114,35,1149,65,301,"227,914",41.50,3.2,82.8,19.7,1.1,4.20,0.06,774,782,767,580,473,533,503,630.3,2.7,9403,8456,7950,7153,5026,6160,7184,6988,8.6
Hawaii,Honolulu,Honolulu Police Department,HI0020000,,3,,2,12,4,2,23,11,4,,8,"350,003","6,229","55,280",313,"182,781","27,558",210339,276,"52,179","25,387",30.28,8.2,0.0,9.0,14.8,0.00,1.63,,,2437,3331,2440,2451,2639,2659.6,7.6,,,29450,23234,16520,15894,16617,20343,11.3
Texas,Houston,Houston Police Department,TXHPD0000,38,23,,1,,9,3,74,63,7,3,1,"2,295,982","506,508","565,112","2,887","157,001",968,157969,"5,547","30,266","1,027,693",68.57,4.0,9.4,2.0,2.8,4.71,1.41,20993,22008,21994,23960,25609,24062,25266,23413.1,10.2,85551,65821,56317,57867,47448,42967,37615,51339,14.4
Indiana,Indianapolis,Indianapolis Metropolitan Police Department,INIPD0000,18,,,,,10,1,29,23,5,,1,"857,637","241,076","473,464","1,722","27,388",179,27567,"2,438","23,566","87,804",55.87,4.2,9.3,2.6,0.0,3.54,0.00,10479,10768,11124,11907,11616,11170,7834,10699.7,12.5,39493,33825,39620,37235,40668,34286,29624,35876,8.1
California,Irvine,Irvine Police Department,CA0302600,,,,,,,,0,,,,,"265,502","4,661","108,183",364,"111,661",562,112223,686,"12,049","27,336",18.75,0.0,0.0,0.0,0.0,No People Killed,No People Killed,113,120,144,152,169,160,188,149.4,0.6,2742,2500,2988,3337,2782,2064,2107,2630,34.2
Texas,Irving,Irving Police Department,TX0571500,2,3,,1,,3,,9,7,,,2,"238,637","30,420","54,379",773,"44,189",392,44581,972,"4,421","103,091",36.65,4.7,8.2,6.9,3.6,1.19,0.53,530,512,469,521,549,510,617,529.7,2.2,10329,7077,5831,5281,5464,5854,5739,5874,#REF!
Florida,Jacksonville,Jacksonville Sheriff's Office,FL0160200,23,2,,,,20,2,47,35,11,1,,"878,907","267,768","455,194","1,635","41,537",668,42205,"2,936","25,091","84,078",47.54,6.7,10.7,5.5,3.0,1.95,0.54,5246,5853,5622,5504,5648,5381,,5542.3,6.3,,,,,,,,,
New Jersey,Jersey City,Jersey City Police Department,NJ0090600,8,,,,,,,8,6,1,1,,"261,746","57,302","54,900",549,"65,157",136,65293,"1,799","5,800","76,103",58.69,3.8,17.5,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,1655,1381,1383,1276,1365,1233,1393,1383.7,5.3,8239,7334,7670,7732,6071,2972,3959,5956,13.4
Missouri,Kansas City Missouri,Kansas City Police Department,MOKPD0000,20,,,,1,8,6,35,30,4,1,,"481,417","138,205","265,472","1,585","12,664",391,13055,667,"13,535","48,898",62.23,9.1,18.1,3.8,0.0,4.80,0.00,5864,5862,6709,7915,8362,7842,7099,7093.3,14.7,11821,12325,10879,10612,10700,10786,11721,11171,31.3
Texas,Laredo,Laredo Police Department,TX2400100,,8,,,,1,,9,6,2,1,,"257,575",780,"9,167",107,"1,295",33,1328,132,385,"245,676",29.02,4.4,0.0,13.6,4.1,0.00,0.30,1027,976,972,940,839,890,838,926.0,3.6,8202,8125,8380,6945,4831,5991,5153,6571,13.7
Nevada,Las Vegas,Las Vegas Metropolitan Police Department,NV0020100,14,16,1,1,,32,6,70,59,8,3,,"2,141,574","235,651","931,411","9,548","201,846","14,480",216326,"7,109","79,448","662,081",32.44,4.1,7.4,4.3,3.0,1.73,0.70,11374,12876,14383,13520,10071,9949,8855,11575.4,5.4,77467,70950,65575,67664,68602,75653,87482,72654,9.6
Kentucky,Lexington,Lexington Police Department,KY0340200,1,,,,,2,,3,2,,1,,"318,734","45,335","227,283",470,"11,587",161,11748,1145,"9,899","22,854",40.93,1.2,2.8,1.1,0.0,2.51,0.00,946,1041,1044,1079,1131,982,967,1027.1,3.2,9189,8202,13351,13033,17259,19235,17697,14796,2.0
Nebraska,Lincoln,Lincoln Police Department,NB0550100,1,,,,,1,,2,2,,,,"280,849","11,976","224,692","1,320","13,063",200,13263,343,"8,464","20,791",32.16,0.9,10.4,0.6,0.0,18.76,0.00,990,918,1025,1006,,1045,1115,1016.5,3.6,13366,14839,13518,13053,,12874,11813,13219,1.5
California,Long Beach,Long Beach Police Department,CA0194100,7,9,,5,,5,1,27,19,5,2,1,"468,883","58,436","131,851","1,472","60,501","3,599",64100,981,"12,861","199,182",57.35,7.2,15.0,4.7,5.6,3.16,1.19,2346,2304,2766,2846,3101,3284,2369,2716.6,5.8,18346,19109,15429,14726,12145,13362,12643,14569,18.5
California,Los Angeles,Los Angeles Police Department,CA0194200,27,78,,2,,20,6,133,103,20,10,,"3,959,657","340,688","1,127,314","6,091","455,113","5,754",460867,"14,051","87,757","1,922,889",66.91,4.2,9.9,2.2,5.1,4.47,2.29,16524,19171,25156,28817,30507,30126,29400,25671.6,6.5,92187,88354,81264,77908,73287,70624,63451,75815,17.5
Kentucky,Louisville,Louisville Metro Police Department,KY0568000,13,,,1,,10,2,26,20,1,3,2,"617,032","142,945","405,969",867,"16,512",324,16836,"1,522","15,550","33,343",55.44,5.3,11.4,3.1,0.0,3.69,0.00,3644,4015,4315,4638,4596,4232,4641,4297.3,7.0,31716,34601,41312,40814,42187,41442,33497,38976,6.7
Texas,Lubbock,Lubbock Police Department,TX1520200,1,4,,,,,1,6,4,1,,1,"250,415","18,948","131,736",762,"6,124",182,6306,156,"4,347","88,160",47.23,3.0,6.6,0.0,5.7,No White People were Killed by Police,No White People were Killed by Police,1829,2084,2391,2741,,2565,2617,2371.2,9.5,8861,7695,8691,7679,7129,7491,6788,7579,7.9
Wisconsin,Madison,Madison Police Department,WI0130100,2,,,,,5,,7,6,1,,,"252,086","16,828","186,277",895,"22,693",104,22797,184,"7,666","17,439",36.64,3.5,14.9,3.4,0.0,4.43,0.00,884,846,890,832,958,1043,940,913.3,3.6,9256,9352,9368,8321,7917,8009,8079,8508,8.2
Tennessee,Memphis,Memphis Police Department,TNMPD0000,16,1,,,,4,3,24,14,4,5,1,"653,248","417,843","167,740",768,"10,124",98,10222,1046,"8,758","46,871",67.86,4.6,4.8,3.0,2.7,1.61,0.89,10894,11399,11449,11947,13077,12674,12376,11973.7,18.3,47826,39634,34267,31773,30089,31332,30956,33009,7.3
Arizona,Mesa,Mesa Police Department,AZ0071700,,10,2,,,14,2,28,21,5,1,1,"491,194","17,752","305,045","9,524","9,770","1,855",11625,362,"10,613","136,273",29.54,7.1,0.0,5.7,9.2,0.00,1.60,1807,2119,1972,2051,2047,1837,1953,1969.4,4.0,24509,24120,25157,22372,24344,20800,16380,22196,12.6
Tennessee,Nashville,Metropolitan Nashville Police Department,TN0190100,7,2,,,,3,1,13,10,1,,2,"660,062","182,577","365,742","1,212","23,413",423,23836,"2,262","15,469","68,964",49.16,2.5,4.8,1.0,3.6,4.67,3.54,6612,7270,7245,7371,7682,7641,7380,7314.4,11.1,51501,47253,45734,42677,40426,35892,23455,39240,3.3
Florida,Miami,Miami Police Department,FL0130600,3,9,,,,,1,13,9,1,3,,"451,214","68,044","48,220",304,"4,341",61,4402,504,"2,447","327,293",75.53,3.6,5.5,0.0,3.4,No White People were Killed by Police,No White People were Killed by Police,4945,4473,4473,3989,3338,2978,2850,3863.7,8.6,31210,29208,25618,24100,19213,20902,18372,22902,5.7
Wisconsin,Milwaukee,Milwaukee Police Department,WIMPD0000,16,2,,,,2,,20,18,2,,,"596,886","229,239","210,479","2,605","25,242",149,25391,828,"16,254","112,090",70.11,4.2,8.7,1.2,2.2,7.35,1.88,8194,8864,9583,9201,9507,8416,7884,8807.0,14.8,41863,32542,27077,24180,24021,19045,14044,23485,8.5
Minneapolis,Minneapolis,Minneapolis Police Department,MN0271100,7,1,,1,,1,,10,5,3,2,,"416,021","79,236","248,761","4,888","25,376",63,25439,850,"16,998","39,849",50.92,3.0,11.0,0.5,3.1,21.98,6.24,4038,4093,4395,4622,4614,3395,3996,4164.7,10.0,20797,17370,15125,11784,11955,11652,11985,13312,7.5
Louisiana,New Orleans,New Orleans Police Department,LANPD0000,10,,,,,2,,12,10,,2,,"389,648","229,914","119,323",499,"11,163",64,11227,1525,"5,757","21,403",67.63,3.8,5.4,2.1,0.0,2.59,0.00,2965,3770,3736,4249,4457,4611,4520,4044.0,10.4,,,17098,20589,25089,23674,,21613,5.6
New York,New York,New York Police Department,NY0303000,54,12,,,,10,7,83,62,15,5,1,"8,443,713","1,853,055","2,713,930","15,017","1,167,421","2,794",1170215,"71,758","162,601","2,457,137",81.41,1.2,3.6,0.5,0.6,7.91,1.33,52384,50564,50088,49124,46433,46113,47822,48932.6,5.8,360754,352523,312805,288126,259740,222922,195638,271959,3.1
New Jersey,Newark,Newark Police Department,NJNPD0000,7,1,,,,2,1,11,6,2,2,1,"280,463","134,863","29,814",914,"5,790",37,5827,"4,843","2,195","102,007",71.19,4.9,6.5,8.4,1.2,0.77,0.15,3516,3008,,2637,2543,2069,1742,2585.8,9.2,13648,10192,7172,8490,7624,7453,7265,8033,13.7
Virginia,Norfolk,Norfolk Police Department,VA1170000,8,,,,,4,,12,9,1,1,1,"245,592","100,369","106,733",811,"8,765",100,8865,785,"8,670","19,359",50.80,6.1,10.0,4.7,0.0,2.13,0.00,1418,1280,1329,1616,1363,1134,1325,1352.1,5.5,17597,15828,12698,11859,12784,13519,13719,13401,9.0
Nevada,North Las Vegas,North Las Vegas Police Department,NV0020200,3,3,,,,2,2,10,5,2,1,2,"236,986","47,844","64,676",909,"14,548","1,374",15922,435,"9,893","97,307",27.10,5.3,7.8,3.9,3.9,2.03,1.00,1806,1782,2130,2276,2461,2386,2158,2142.7,9.0,,6922,5922,5935,5750,7056,6708,6382,15.7
California,Oakland,Oakland Police Department,CA0010900,7,2,,,,2,,11,8,2,1,,"421,042","97,053","118,713","1,610","65,591","2,529",68120,"1,868","20,544","113,134",51.89,3.3,9.0,2.1,2.2,4.28,1.05,7984,6910,6051,6059,5521,5480,5520,6217.9,14.8,7562,9781,10885,11083,10518,8971,8275,9919,11.1
Oklahoma,Oklahoma City,Oklahoma City Police Department,OK0550600,25,8,3,,,17,,53,41,3,5,4,"637,284","91,853","343,233","15,731","29,097",393,29490,919,"33,513","122,545",46.73,10.4,34.0,6.2,8.2,5.50,1.32,4998,4782,4828,5027,5104,5663,4753,5022.1,7.9,19330,19515,20922,18574,17246,15795,15825,17980,29.5
Nebraska,Omaha,Omaha Police Department,NB0280200,7,1,1,,,7,,16,10,3,1,2,"465,112","56,589","310,770","1,886","17,143",211,17354,930,"12,760","64,823",58.03,4.3,15.5,2.8,1.9,5.49,0.68,2449,2458,2329,2531,2909,2628,2885,2598.4,5.6,19407,20400,,18677,,19072,18836,19246,8.3
Florida,Orlando,Orlando Police Department,FL0480400,10,5,,1,,4,,20,12,5,1,2,"275,690","67,069","102,915",332,"11,324",71,11395,"2,493","5,722","85,764",60.99,9.1,18.6,4.9,7.3,3.84,1.50,2316,2340,2525,2328,2113,2282,2158,2294.6,8.3,11427,11408,10650,9344,9059,8727,9032,9703,20.6
Pennsylvania,Philadelphia,Philadelphia Police Department,PAPEP0000,25,1,,,,3,11,40,30,4,2,4,"1,575,522","646,234","545,784","3,200","111,912",381,112293,"5,676","34,624","227,711",73.35,3.2,4.8,0.7,0.5,7.04,0.80,17074,15925,16132,15534,14930,14420,11398,15059.0,9.6,86253,82799,69324,53807,52689,46301,,60984,6.6
Arizona,Phoenix,Phoenix Police Department,AZ0072300,19,49,4,,,50,3,125,88,21,8,8,"1,610,071","105,439","692,584","26,667","57,786","3,144",60930,"2,565","36,371","685,515",49.89,9.7,22.5,9.0,8.9,2.50,0.99,9492,8749,9261,10700,12511,12110,11811,10662.0,6.6,70691,59811,51435,44335,49958,52434,56384,52393,23.9
Pennsylvania,Pittsburgh,Pittsburgh Bureau of Police,PAPPD0000,7,,,,,1,,8,7,,1,,"303,587","69,652","196,674",330,"17,272",60,17332,817,"9,482","9,300",56.55,3.3,12.6,0.6,0.0,19.77,0.00,2259,2455,2167,2366,2008,1751,1449,2065.0,6.8,17868,15406,12911,11897,13534,11699,,13089,6.1
