County,description,Symptoms_mental_illness,Unarmed_Armed,Alleged_Threat_Level,Fleeing,Body_Camera,Geography
Orange,"Around 10 p.m., officers were dispatched to search for a person with an outstanding arrest warrant for sexual assault. When officers found Jesse David Nava, he was allegedly armed with a kitchen knife, and police shot and killed him.",No,Allegedly Armed,other,,No,
Wayne,"Around 1:30 p.m., in the Cherry Hill Apartment complex, a person shot and killed two people off his balcony. He fired at the responding officers and was shot and killed.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Volusia,"Michael Harris was wanted in connection with a shooting involving a woman earlier in August. Holly Hill police received an anonymous tip Harris was at an apartment complex. Two agencies approached the apartment together. When officers entered the apartment, Harris ran to a bedroom. Officers reportedly ordered him to surrender and followed him. When officers opened the door, Harris shot at them, and police shot and killed Harris.",No,Allegedly Armed,attack,Not fleeing,Yes,Suburban
Mesa,"Around 10 a.m., deputies and officers responded to a trespass in progress in Loma. The caller said her neighbor was on her property and carrying a gun. The person was armed with a firearm and reportedly was not compliant with directions from police who shot and killed him.",No,Allegedly Armed,other,Not fleeing,No,Rural
Howard,"A trooper pulled a driver over and called for backup for a field sobriety test. He then approached the driver's side of the Escape, while the second trooper arrived. The driver reportedly showed signs of impairment, and the trooper asked him to get out of the car. The driver refused to get out of the car. The man put the car in drive while the trooper reached to take the keys out of the ignition. As the trooper reached in, the driver sped away, dragging the trooper more than 2,000 feet down the interstate before the trooper shot and killed him.",Drug or alcohol use,Vehicle,other,Car,No,Suburban
Salt Lake,"A man allegedly shot at deputy marshals during a foot pursuit, and they shot and killed him.",No,Allegedly Armed,other,Foot,No,Urban
Pima,"A teenager was facing multiple felony counts for alleged crimes in midtown Tucson including armed robbery, aggravated assault with a weapon, aggravated robbery and burglary, police said. Officers had tracked the boy to an address on the city's south side. As they moved in around 11 a.m. to make an arrest, the boy produced a handgun, and an officer shot and killed him.",No,Allegedly Armed,attack,Foot,Yes,Suburban
Harris,"About 3:29 a.m., a man reportedly fired at least four shots at a Lyft vehicle with a driver and two passengers inside. The man fled, and the Lyft driver flagged down a nearby officer. For the next hour, police searched for the man who was believed to be armed with a silver revolver. They're still searching for that weapon, which they said he periodically reloaded. The man eventually had made his way to an area outside the Kindred Church. At 5:22, a sniper fired a single gunshot and killed the man.",No,Allegedly Armed,attack,Foot,No,Urban
Knox,"Kentucky State Police reportedly were serving warrants to multiple homes when two men fired at them. The two men were in tents on the side of the mountain when they fired at police. Police shot and killed one, while a 24-hour standoff occurred between Kentucky State Police and the second remaining person. Troopers were pursuing Joey Middleton, when another person was shot in the woods by Kentucky state troopers.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Bexar,"Deputies were dispatched after family members called to report that Daniels, a combat veteran, was mentally unstable and suicidal after the loss of loved ones. A deputy attempted to subdue Daniels with a stun gun, but it did not stop him. He then grabbed the deputy's stun gun, and another deputy used their stun gun on him to try to get him to let go of it. Daniels reached for a weapon he had in a holster around his waistband, and a deputy shot and killed Daniels, when he failed to comply.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Knox,"Kentucky State Police reportedly were serving warrants to multiple homes when two men fired at them. The two men were in tents on the side of the mountain when they fired at police. Police shot and killed Charles Garland, 30, while a 24-hour standoff occurred between Kentucky State Police and the second remaining person, Joey Middleton, when Garland was shot in the woods by Kentucky state troopers. Police killed Middleton the following day.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Calhoun,"Casper Brown was shot and killed by police in a home in Eckford Township after he allegedly invaded the home beginning a four-hour standoff during which the man shot at officers. A woman reportedly was inside her home when she realized the man was inside and she ran to a neighbor. Brown was killed about 4:30 p.m., shot through a window in the attached garage.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Gaston,"Deputies were called to a domestic disturbance at a home about noon. While at the home, deputies learned Corey Lee Cutler had four outstanding warrants. Cutler entered a building on the property and allegedly opened fire at the deputies, who shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Bernalillo,"Around 4 p.m., deputies responded to someone with a gun firing shots in the neighborhood. The person fired near deputies, and deputies shot and killed the person.",No,Allegedly Armed,attack,,No,Urban
Camden,"Officers responded to a domestic disturbance at the Camden Way apartments around 11 p.m. Officers reportedly saw Gearil Williams with a knife, refusing to open the door. Officers reported that they heard a woman inside requesting them to come inside. The woman fled from Williams to a bedroom. He followed her and barricaded the door as officers entered the apartment. Officers say they could hear the woman screaming. One officer was broke a bedroom window and saw Williams threatening the woman with a knife. The officer shot and killed Williams.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Sacramento,"Police were called around 7 p.m. after a woman called 911 to report a man with a gun had arrived at her home. The man fired shots and a woman was found dead at the scene. Upon arrival, Jones said the man shot at officers and attempted to run. A deputy was shot and wounded. Police and sheriff's deputies continued to pursue the man after the deputy was shot, and police shot and killed him.",No,Allegedly Armed,attack,Foot,No,Urban
Lafayette,"Lafayette Police responded to a disturbance shortly after 8 p.m. involving a person armed with a knife at a convenience store. Upon arrival, officers encountered Trayford Pellerin in the parking lot. As police attempted to arrest Pellerin, he fled, and an on foot pursuit ensued. Officers deployed Tasers, but they were not effective. Pellerin, still armed with a knife, tried to enter another convenience store where he was shot by police.",Yes,Allegedly Armed,other,Foot,No,Suburban
San Bernardino,"A father called police to report that his son — Mark Dawson Jr. — had stabbed him and was fighting with him. Dawson was armed with multiple knives and continued to make threats against his father and responding deputies, police said. Deputies forced their way into the home after they were unable to get the son to comply with their orders. At least one deputy shot and killed the son.",No,Allegedly Armed,attack,Not fleeing,,Suburban
Rolette,Police shot and killed brandon Laducer at a private residence in Belcourt on the Turtle Mountain Indian Reservation. Details as to what precipitated the killing were withheld by police.,No,Unclear,undetermined,,No,Rural
Monmouth,"At 9 p.m., police officers first responded to a domestic dispute inside a two-family residence. When police arrived, the woman was outside, and the man had barricaded himself inside the upstairs apartment. During the incident, the man reportedly opened the door, revealing that he was armed with a knife. The man continued to hold the knife, despite repeated orders from the police to drop the weapon. Officers reportedly attempted to use a Taser, but it wasn't effective. The man remained armed with the knife, and at approximately 10:10 p.m., an Asbury Park officer shot and killed him.",No,Allegedly Armed,other,,No,Suburban
San Luis Obispo,"Shortly before noon, a man, who was accompanied by a woman, appeared to fire random shots in the Vons parking lot in Nipomo. During an altercation at the gas station, the shooter shot about seven rounds while employees sheltered in an office. During a shootout with deputies and officers, the man was killed.",No,Allegedly Armed,attack,Not fleeing,No,Rural
DeKalb,"About 10:45 p.m., a deputy tried pulling over Shiloh D. Smith for a traffic violation. Smith allegedly started shooting at the deputy. Police said they exchanged gunfire, and said Smith shot at the deputy throughout the chase. Smith's vehicle crashed, and he was shot and killed.",No,Allegedly Armed,attack,Car,,Rural
Kern,"A man was driving and acting erratically about 6:28 p.m. outside Tony's Firehouse Grill and Pizza . His vehicle became disabled and when people approached him, he allegedly pulled a gun, and an off-duty deputy shot and killed him.",Yes,Allegedly Armed,attack,,,Suburban
Lonoke,"Jeffrey Wratten was the subject of a ""be on the lookout"" for police after a family member said they were concerned about his well being. Around 12:38 p.m., a Cabot police officer initiated a traffic stop. Wratten was the driver of the vehicle stopped by the officer and got out holding a shotgun. The officer ordered Wratten to drop the gun, and then shot and killed him.",Yes,Allegedly Armed,undetermined,,No,Suburban
Hays,"Deputies responded to an Exxon in Wimberley for a possible suicidal subject. Deputies later learned that Nathan Harrington had stolen a vehicle and was headed north toward Dripping Springs. Deputies and troopers caught up with the vehicle and initiated a pursuit. Police knocked the car off the road. When the vehicle stopped, Harrington began firing at deputies and DPS. Officers shot and killed Harrington.",Yes,Allegedly Armed,attack,Car,No,Rural
Hernando,"Around 9:15 p.m., deputies went to a home to serve an injunction. Deputies were met with resistance by the man who refused to come out of his house. At about 12:45 a.m., the man started shooting at deputies who shot and killed him.",No,Allegedly Armed,attack,,No,Rural
Cameron,"Police were called around 11 p.m. regarding a man and woman fighting. The man allegedly pulled out a gun pointed it at the woman and then at officers, and Officer Oscar Lara shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Mohave,"A deputy was called to serve an order of protection against Ronald Stuart Chipman, who pointed a firearm at the deputy, and more police were called in. Chipman barricaded himself inside his residence. Chipman fired at officers from inside the residence. Lake Havasu City police officers shot and killed Chipman.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Walker,"A woman had been beaten and held against her will in a home by Jack Lamar Harris. She escaped and called 911. Walker County Sheriff's Deputy Justin Henry, DTF Commander Dewayne Brown, and DTF Agent Robbie Tate arrived at the home. Harris came out and reportedly refused to follow police orders. Harris went back into the home and came out with a gun and pointed it at officers, who shot and killed him.",No,Allegedly Armed,attack,,No,Rural
Cumberland,"Deputies were trying to serve an involuntary commitment order on a man 4:45 p.m. Adrian Jason Roberts was the subject of the order. When deputies made contact with Roberts, he allegedly charged at them with a machete. One of the deputies shot and killed him.",Yes,Allegedly Armed,undetermined,,No,Suburban
Matagorda,"Erik Jon Perez was reportedly wanted for felony and misdemeanor warrants when he got into a confrontation with officers about 5:29 p.m. Officers recognized Perez as he was driving and tried to stop him. While they chased him, Perez allegedly shot and hit a patrol unit. The Matagorda County Sheriff's Office and Texas DPS troopers joined in the pursuit. Perez reportedly got out of his vehicle and attempted to make a run for it. He reportedly his weapon and pointed it at officers, and officers from all three agencies shot and killed him.",No,Allegedly Armed,attack,Foot,,Rural
Jones,Deputies responded to a domestic call and shot and killed Trevor Edwards around 8:30 p.m. Details as to what precipitated the killing were withheld by police.,No,Unclear,undetermined,,No,Rural
Hidalgo,"Police responded to a call about a man with a rifle dressed in black at Walmart. Police engaged the man who dropped the rifle, but allegedly pulled a handgun and shot at police, who shot and killed him.",Unknown,Allegedly Armed,attack,Foot,No,Undetermined
Highlands,Police were called around 7 p.m. on a report of two men involved in a domestic dispute. Keith Allen Fileger allegedly tried to attack his brother with a machete-type weapon. Fileger fled when deputies arrived. A dog tracked Fileger to a wooded area. Fileger reportedly told deputies he wasn't going back to prison and pointed the gun at them. Deputies shot and killed Fileger.,No,Allegedly Armed,attack,Not fleeing,,Rural
San Bernardino,"At 12:59 a.m. officers from the Barstow Police Department stopped a pedestrian near a business complex for unspecified reasons. Shortly after the deputies made contact with Jimmy Ferrer, he became uncooperative, then pepper-sprayed the deputy, and a deputy shot and killed Ferrer.",No,Allegedly Armed,attack,Not fleeing,,Suburban
San Bernardino,"Santos Anthony Villegas was being sought by police because he allegedly had two encounters with police in which he leveled a pistol at them. Villegas was stopped around 3:30 p.m. Villegas got out of the vehicle and pointed a handgun at the officer and pulled the trigger, but the gun did not fire. He fled on foot, hiding in a nearby yard. Police found him, and he again he aimed the handgun, and four officers shot and killed him.",No,Allegedly Armed,attack,Foot,No,Suburban
Kern,"Around 11 a.m., police responded regarding two people who had been stabbed. They found a man and a woman both suffering from minor-to-moderate stab wounds. Officers learned the man had carjacked a vehicle but got involved in a hit-and-run car accident. Officers caught up with him. He allegedly confronted the officers who shot and killed him.",No,Allegedly Armed,other,Car,No,Urban
Merced,"A man was holding woman and and her children hostage inside a bedroom as the man paced the hallway in front of the room with two kitchen knives, with one in each hand. The man reportedly threatened to rush the victims and stab them if deputies came into the residence.The man ignored deputies' commands to drop the knives. After almost an hour of negotiations, the man allegedly rushed into the room, and deputies shot the man through the bedroom window, killing him.",No,Allegedly Armed,other,Not fleeing,No,Rural
Riverside,"A 30-year-old San Jacinto man was being sought in the death of a 29-year-old man. Police spotted a suspect about 6 a.m. in Hemet, who fled in his car when officers tried to stop him. The chase went into neighboring San Jacinto, then back into Hemet. The man came out with a gun in his hand, and was shot and killed by police.",No,Allegedly Armed,other,Car,No,Suburban
Clark,"Officers were dispatched to a call at about 4:21 p.m. to investigate reports of an man suffering from a possible mental episode. The man allegedly had fired multiple rounds inside of his residence. When officers arrived they attempted to contact the man. He came out of the hom, armed with a handgun, and two officers shot and killed him.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
Maury,"Deputies were executing a search warrant when the man fled, wrecked his car, and then ran from deputies after crashing his vehicle. The chase ended when deputies shot and killed him.",No,Vehicle,undetermined,Other,No,Suburban
Los Angeles,"Officers pulled over a car which was occupied by two men for a vehicle code violation at 7:53 p.m. During the traffic stop, the passenger refused to allow officers to search him. Instead, they said, he ran into the street, holding his pants waistband, and while fleeing, allegedly pulled a firearm from the waistband, and police shot and killed him.",No,Allegedly Armed,other,Foot,No,Urban
Anderson,"Around 9:30 p.m., Oak Ridge police responded to a request by an individual in need of assistance. When they arrived, they found Fred John Henry Arcera, who reportedly was armed with two knives. During the interaction with the officers, Arcera allegedly came at them with the weapons, and the officers shot and killed him.",No,Allegedly Armed,undetermined,Not fleeing,No,Suburban
Marion,Deputies shot and killed a man after he pointed a firearm police who were responding to a domestic disturbance about 7:30 p.m.,No,Allegedly Armed,attack,,No,Suburban
Denver,"Around 9 a.m., a BNSF officer approached a man who was allegedly trespassing on railroad property and was wanted on a felony warrant. The man starting stabbing at the officer with a knife, and the officer shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Urban
Tuscaloosa,Tuscaloosa police officers used a Taser to subdue Kendrell Antron Watkins when he ran naked into the intersection of 15th Street and Martin Luther King Jr. Boulevard.,Yes,Unarmed/Did Not Have an Actual Weapon,other,,,Suburban
Broward,"Deputies were searching for a gunman after his girlfriend called 911 asking for help. Dispatchers later received reports of shots fired, and deputies found the domestic violence suspect there and reported he refused to put down his weapon. Deputies shot and killed him, police said.",No,Allegedly Armed,attack,,No,Suburban
Maricopa,"Officers noticed a car driving that reportedly matched the description of a suspect's vehicle involved in a recent carjacking. The 39-year-old man eventually pulled into the QuikTrip gas station and got out of the vehicle. When he returned to the vehicle, police attempted to arrest him. The man knocked one officer to the ground and then reportedly reached behind his back while on top of the officer. A second officer shot and killed the man. A gun was allegedly found near the man.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Miami-Dade,A man was allegedly violating a temporary protection order when police were called. He allegedly attacked an officer with a knife when a second officer shot and killed him.,No,Allegedly Armed,attack,,,Urban
Coweta,"About 12:04 a.m., an officer spotted a 2002 Dodge Ram being driven against the curb of Greenville Street for about 50 yards. The officer believed the driver was under the influence of alcohol or drugs. The officer pulled over the driver, and when he began to approach the rear of the vehicle, the driver fled. The chase reached nearly 100 mph, and the Dodge's headlights were off. A deputy knocked the vehicle off the road near Moreland, causing the Dodge to spin out into a pasture. The driver, Rafael Jevon Minniefield, was ejected and killed.",Drug or alcohol use,Vehicle,,,,Rural
Pueblo,"Police received a report of an in-progress home invasion at a home around 10:20 p.m. An armed woman had entered the home and threatened the residents. Officers responded to the home, where all but one of the occupants had escaped. The lone remaining resident, an elderly male, was still inside the home with the woman. A short time later, Lyana Gilmore came out of the home and was confronted by officers. The officers ordered her to drop her firearm, but she failed to do so, and police shot and killed her.",Yes,Allegedly Armed,attack,Not fleeing,No,Urban
Bernalillo,"Officers responded to a possible home invasion. Police said that as officers arrived, a person ran and fired at least one shot at officers. At least one officer shot and killed him.",No,Allegedly Armed,attack,Foot,No,Urban
Tulsa,"Deputies tried to pull over a man with no tail light or rear lights on around 2 a.m. A slow-speed chase began, and the man rammed a deputy patrol car at least once. The manthen pulled over and fought with deputies. During the fight, the man allegedly reached for a deputy's gun, and another deputy shot and killed him.",No,Vehicle,attack,Car,No,Suburban
Clark,"Police heard that a man was attempting to start trees and cars on fire in northeast Las Vegas. An officer found the man, who took off running, and an officer took off in foot pursuit of the individual. He continued to pursue the man on foot until he pulled out a black handgun and turned and pointed it at the officer. The man then fled to a residence in the Storeyville Manufactured Home Community. Several people came out, but a woman who said he would not allow her to leave. Police attempted to take the man into custody, but he would not surrender. They entered the mobile home and at least one officer shot and killed him.",Yes,Allegedly Armed,attack,Not fleeing,Yes,Suburban
Moore,"Chris Minor allegedly was walking through downtown Robbins with a shotgun, shooting at random, before police confronted him. Officers confronted Minor behind the Robbins Mini Storage warehouse at about 8:30 p.m., and shot and killed him.",Yes,Allegedly Armed,other,Foot,No,Rural
Hall,"Officers were called to remove an out-of-control family member, who was suspected to be under the influence of drugs. One family member reported being assaulted, and family members wanted the man removed from the house. The man allegedly was allegedly threatening people with objects as weapons inside the house. He began to barricade himself inside. He confronted officers standing outside the back door with a knife in his hand. Two less lethal options were reportedly tried to no effect. He was ordered to drop the knife, and when he charged at the officers, the officers shot and killed him.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Natrona,Police shot and killed Robert Land at an apartment after police entered the home in response to a call that a woman was being held at gunpoint.,No,Allegedly Armed,attack,Not fleeing,,Suburban
Bernalillo,"Police were called around 8 p.m. to a home after a dispute between neighbors. Officers discovered one neighbor had some type of weapon and then an altercation ensued. At least one officer opened fire, shooting and killing that neighbor. Details as to what precipitated the killing were withheld by police.",No,Unclear,undetermined,,No,Suburban
El Paso,"Officers responded to a family violence call around 2 p.m. When they arrived, Ryan Hinojo had already fled. Police returned to the home after another call that Hinojo had returned. Officers found him in the front yard. Hinojo reportedly ran across the street to a neighboring backyard where he opened fire on police officers, who shot and killed him.",No,Allegedly Armed,attack,Foot,No,Suburban
Pierce,"Deputies responded about 9 p.m. to multiple calls about a man firing shots. Callers also told 911 operators that the man held a knife to a neighbor's throat. Deputies heard multiple shots fired when they arrived, but they didn't find the man until after 10:30 p.m. when they realized he was inside a home with three other people. The three people left the home safely, but the man was still inside firing shots. The 39-year-old man reportedly left the home about 11:30 p.m. and fired multiple shots, and a deputy shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Tulsa,"Police were pulling over a vehicle that reportedly was swerving and hit a curb around 1:30 a.m. The driver, Earl Barton, fled, and a chase started. Police stopped the vehicle with stop sticks. The driver got out of the vehicle and ran. After police found the driver, they said he pulled out a knife and tried to assault an officer. And police shot and killed Barton.",No,Allegedly Armed,attack,Foot,No,Suburban
Davis,"An officer initiated a traffic stop around 2 a.m. for an unspecified traffic violation. The officer made contact and had a discussion with the car's two white occupants before they fled in the vehicle. Officers pursued the vehicle before they lost it. A short time later, police received reports that the vehicle had stopped in a in Clinton. As officers approached the vehicle, occupants shot at them. Officers shot and killed on person, and the other was taken into custody.",No,Allegedly Armed,attack,Car,No,Suburban
Tulsa,"Police responded to a report of a man trying to scale the fence of a secure transitional living facility about 2:10 p.m. They found the man down the street reportedly wielding a knife. The man began cutting himself with the knife, and then allegedly rushed officers who shot and killed him.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
Salt Lake,"Officers were dispatched on a call of a suicidal man with a gun at about 12:15 p.m. to a parking structure. The man, Matthew Hilbelink, was armed with a handgun. Officers negotiated with the man for approximately 30 minutes before shooting and killing him.",Yes,Allegedly Armed,undetermined,Not fleeing,Yes,Suburban
Polk,"Officers responded around 9:45 p.m. to the Dalles House Motel after a woman called 911 in need of help. When officers arrived at the room, a man armed with a knife came out. Police say he refused several officer commands to drop the knife. The man reportedly rushed police with the knife, and at least one officer shot and killed him.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Bossier,Police shot and killed a person in Bossier City. Details as to what precipitated the killing were withheld by police.,Yes,Allegedly Armed,other,Not fleeing,No,Urban
Orange,"Deputies approached a group of four people in the parking lot outside Dick's Sporting Goods. One of the people was allegedly wanted on charges of possession of a firearm by a convicted felon and was a person of interest in a shooting that happened three weeks prior in the Pine Hills neighborhood. Salaythis Melvin ran and a deputy shot him in the back, killing him.",No,Allegedly Armed,other,Foot,Yes,Suburban
St. Charles,"Police were chasing a white sedan down State Highway 94 before branching off on Minert Road in West Alton. The sedan began to slow down, turned onto a gravel road and drove for a short time through a field of crops, followed by a line of police vehicles. The man then got out of the car, ducked behind it and fired at officers. He was shot and killed by St. Charles County police.",No,Allegedly Armed,attack,,,Rural
Hillsborough,Nicholas Kocolis was shot and killed by deputies after shooting at them in a Burger King parking lot. He was being sought for a shooting the day before.,No,Allegedly Armed,,,,Suburban
Riverside,Police say a man pulled out a knife and stabbed an officer after they were responding to reports of a suspicious person in the area. They shot and killed him.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Pinellas,"Police were called to investigate a dispute between Jeffrey Haarsma and his neighbor. The neighbor told police Haarsma had been giving her a hard time, took some of her belongings and threw them in the dumpster. The officer, 34-year-old Alison Savarese, said Haarsma appeared aggressive when she tried talking with him. As she tried to detain him, he allegedly refused and pushed back so she tackled him to the ground. Once they got up, Haarsma grabbed her around the neck, and she shot and killed him.",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Suburban
Screven,A trooper shot and killed Julian Edward Roosevelt Lewis after the trooper tried to stop a vehicle. The driver refused to stop. The trooper started chasing him down several county roads. The trooper knocked the car off the road and shot and killed Lewis.,No,Vehicle,,,,Rural
Alameda,"Around 11 p.m., officers began a pursuit of an allegedly stolen vehicle in San Leandro. The chase continued into Oakland where the vehicle crashed into the rear of an unoccupied parked vehicle. The driver got out of the with a rifle. An officer shot and killed him.",No,Allegedly Armed,attack,Other,No,Urban
San Bernardino,California Highway Patrol officers shot and killed a person after an alleged hit-and-run accident. The man had a metal pipe when a CHP officer confronted and shot and killed him around 4:20 p.m. on the railroad tracks south of Gausti Road.,No,Allegedly Armed,,,,Urban
Atlantic,"About 4:15 p.m., witnesses said police shot and killed a Black man near a marsh on the eastern side of West End Avenue. The man allegedly charged toward police, and the police shot and killed him. The witness said he heard five to seven shots. Police have withheld virtually all details regarding who they killed and why they killed him.",No,Unclear,other,Not fleeing,No,Suburban
Tom Green,"About 4:19 p.m., police responded to a domestic violence situation involving an armed man. When officers arrived, they attempted to stop the man who was leaving in a vehicle, and then pursued. After a ""slow-speed"" pursuit, the man fled on foot into an open field and ran toward the O.C. Fisher Dam spillway. He allegedly shot at pursuing officers, and Roberto Hernandez Jr. was shot and killed.",No,Allegedly Armed,attack,Other,No,Suburban
Salt Lake,"Police said a man, who was walking around, was contacted by a police officer on patrol. When the officer went back to his vehicle to check the man's information, the man took off running. A foot pursuit began, until the man allegedly turned and pulled a gun on the officer. The officer then shot and killed him.",No,Allegedly Armed,attack,Foot,No,Suburban
Harris,"Ashton Broussard allegedly punched a security guard, took her gun and got on a METRO bus that had passengers on board. After being disarmed, the security guard alerted an off-duty HPD sergeant, who had just dropped his vehicle off at a nearby service station. The driver and three passengers off the bus. The off-duty officer shot and killed Broussard when he allegedly failed to comply with the officer's commands and pointed the gun at him.",No,Allegedly Armed,attack,,,Urban
Webster,Police were called to a residence shortly after 7 Tuesday evening for a report of a suicidal female with two knives. Reportedly the woman ran at the sheriff's deputy armed with a knife in each hand. Deputy Brett Knippel shot and killed her.,Yes,Allegedly Armed,other,Not fleeing,No,Suburban
Trumbull,"Officers were called to the address on Hamilton Avenue to investigate a report of an assault and domestic violence. David Rigg was shot and killed, although details as to what precipitated the killing were killed by police.",Yes,Allegedly Armed,other,Not fleeing,No,Urban
Charleston,Deputy Katherine Brehm responded about 7:40 p.m. to a domestic disturbance call after a woman called 911 and told dispatchers a man was threatening her with a knife. She shot and killed Christopher Lawings. Details as to what precipitated the killing were withheld by police.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
