Victim_age,Victim_gender,Victim_race,Date ,County,Agency_responsible_death,Cause_death
Unknown,Male,Unknown race,15/08/2020,Denver,Burlington Northern Santa Fe Railway Police Department,Gunshot
31,Male,Black,15/08/2020,Tuscaloosa,Tuscaloosa Police Department,Tasered
28,Male,White,14/08/2020,Broward,Broward County Sheriff's Office,Gunshot
39,Male,Hispanic,14/08/2020,Maricopa,Glendale Police Department,Gunshot
Unknown,Male,Unknown race,14/08/2020,Miami-Dade,North Miami Police Department,Gunshot
29,Male,Black,13/08/2020,Coweta,Coweta County Sheriff's Office,Vehicle
48,Female,Unknown race,2020-11-08 00:00:00,Pueblo,Pueblo Police Department,Gunshot
50,Male,White,2020-11-08 00:00:00,Bernalillo,Albuquerque Police Department,Gunshot
Unknown,Male,Unknown race,2020-11-08 00:00:00,Tulsa,Rogers County Sheriff's Office,Gunshot
32,Male,White,2020-10-08 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
38,Male,White,2020-10-08 00:00:00,Moore,Robbins Police Department,Gunshot
40,Male,Hispanic,2020-10-08 00:00:00,Hall,Grand Island Police Department,Gunshot
45,Male,Unknown race,2020-10-08 00:00:00,Natrona,Casper Police Department,Gunshot
48,Male,Hispanic,2020-10-08 00:00:00,Bernalillo,Albuquerque Police Department,Gunshot
26,Male,Hispanic,2020-09-08 00:00:00,El Paso,El Paso Police Department,Gunshot
39,Male,Unknown race,2020-09-08 00:00:00,Pierce,Pierce County Sheriff's Office,Gunshot
42,Male,White,2020-09-08 00:00:00,Tulsa,Tulsa Police Department,Gunshot
21,Male,White,2020-08-08 00:00:00,Davis,Roy Police Department,Gunshot
25,Male,White,2020-08-08 00:00:00,Tulsa,Tulsa Police Department,Gunshot
39,Male,White,2020-08-08 00:00:00,Salt Lake,Unified Police Department of Greater Salt Lake,Gunshot
Unknown,Male,Unknown race,2020-08-08 00:00:00,Polk,St. Croix Falls Police Department,Gunshot
Unknown,Male,Black,2020-08-08 00:00:00,Bossier,Bossier City Police Department,Gunshot
22,Male,Black,2020-07-08 00:00:00,Orange,Orange County Sheriff's Office,Gunshot
26,Male,Unknown race,2020-07-08 00:00:00,St. Charles,St. Charles County Police Department,Gunshot
51,Male,White,2020-07-08 00:00:00,Hillsborough,Hillsborough County Sheriff's Office,Gunshot
Unknown,Male,Hispanic,2020-07-08 00:00:00,Riverside,Riverside County Sheriff's Department,Gunshot
55,Male,White,2020-07-08 00:00:00,Pinellas,St. Petersburg Police Department,Gunshot
60,Male,Unknown race,2020-07-08 00:00:00,Screven,Georgia State Patrol,Gunshot
35,Male,Unknown race,2020-06-08 00:00:00,Alameda,San Leandro Police Department,Gunshot
Unknown,Male,Unknown race,2020-06-08 00:00:00,San Bernardino,California Highway Patrol,Gunshot
30,Male,Black,2020-06-08 00:00:00,Atlantic,Ventnor City Police Department,Gunshot
29,Male,Hispanic,2020-05-08 00:00:00,Tom Green,San Angelo Police Department,Gunshot
30,Male,Unknown race,2020-04-08 00:00:00,Salt Lake,Unified Police Department of Greater Salt Lake,Gunshot
30,Male,Black,2020-04-08 00:00:00,Harris,Houston Police Department,Gunshot
39,Female,Unknown race,2020-04-08 00:00:00,Webster,"Fort Dodge Police Department, Webster County Sheriff's Office",Gunshot
44,Male,White,2020-04-08 00:00:00,Trumbull,Warren Police Department,Gunshot
67,Male,Unknown race,2020-04-08 00:00:00,Charleston,Charleston County Sheriff's Office,Gunshot
28,Male,Hispanic,2020-04-08 00:00:00,Maricopa,Phoenix Police Department,Physical Restraint
36,Male,White,2020-04-08 00:00:00,Kitsap,Kitsap County Sheriff's Office,Gunshot
38,Male,White,2020-03-08 00:00:00,Iredell,Mooresville Police Department,Gunshot
Unknown,Male,Unknown race,2020-03-08 00:00:00,Los Angeles,Culver City Police Department,Gunshot
17,Male,Unknown race,2020-02-08 00:00:00,Salt Lake,West Jordan Police Department,Gunshot
63,Female,White,2020-02-08 00:00:00,Sarasota,Sarasota County Sheriff's Office,"Gunshot, Taser"
56,Male,White,2020-01-08 00:00:00,Miami-Dade,Miami-Dade Police Department,Gunshot
73,Male,White,2020-01-08 00:00:00,Custer,Bonners Ferry Police Department,Gunshot
30,Male,Unknown race,31/07/2020,Medina,Brunswick Police Department ,Gunshot
49,Male,Unknown race,31/07/2020,Hamblen,Morristown Police Department,Gunshot
25,Male,Unknown race,30/07/2020,Rensselaer,Troy Police Department,Gunshot
28,Male,Black,30/07/2020,Wayne,Detroit Police Department,"Gunshot, Taser"
41,Male,Unknown race,30/07/2020,San Bernardino,Chino Police Department,Gunshot
39,Male,Hispanic,30/07/2020,Hidalgo,"Mission Police Department, Hidalgo County Sheriff's Office",Gunshot
21,Male,Unknown race,29/07/2020,Clark,North Las Vegas Police Department,Gunshot
25,Male,Unknown race,29/07/2020,Snohomish,Bothell Police Department,Gunshot
37,Male,Unknown race,29/07/2020,Calcasieu,Lake Charles Police Department,Gunshot
42,Male,Unknown race,29/07/2020,Mohave,Mohave County Sheriff's Office ,Gunshot
32,Male,Unknown race,28/07/2020,Haywood,Haywood County Sheriff's Office,Gunshot
47,Male,White,28/07/2020,Sarasota,North Port Police Department,Gunshot
36,Male,Unknown race,28/07/2020,El Paso,University of Texas at El Paso Police Department,Tasered
26,Male,Unknown race,27/07/2020,Hamilton,Carmel Police Department,Gunshot
22,Male,Unknown race,26/07/2020,Surry,Mount Airy Police Department,Gunshot
35,Male,White,25/07/2020,Salt Lake,Salt Lake City Police Department,Gunshot
49,Male,White,25/07/2020,Oklahoma,The Village Police Department,Gunshot
45,Male,Black,24/07/2020,Person,Roxboro Police Department,Gunshot
60,Male,Unknown race,24/07/2020,San Joaquin,San Joaquin County Sheriff's Office,Gunshot
41,Male,Unknown race,24/07/2020,Harris,Harris County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,24/07/2020,Miami-Dade,Miami-Dade Police Department,Gunshot
51,Male,White,23/07/2020,Humboldt,Eureka Police Department,Gunshot
Unknown,Male,Black,23/07/2020,Wayne,Detroit Police Department,Gunshot
30,Male,White,22/07/2020,Cleveland,"Cleveland County Sheriff's Office, Oklahoma City Police Department ",Gunshot
37,Male,White,22/07/2020,Waukesha,Waukesha County Sheriff's Office,Gunshot
49,Female,Unknown race,22/07/2020,Pinellas,Largo Police Department,Gunshot
22,Male,Black,21/07/2020,Sacramento,Sacramento Police Department,Gunshot
33,Male,Unknown race,20/07/2020,San Diego,Chula Vista Police Department,Gunshot
51,Male,Black,20/07/2020,East Baton Rouge,Baton Rouge Police Department,Gunshot
35,Male,Unknown race,19/07/2020,Marion,Indianapolis Metropolitan Police Department,Gunshot
24,Male,Black,18/07/2020,Cook,Chicago Heights Police Department,Gunshot
Unknown,Male,Unknown race,17/07/2020,Mesa,"Fruita Police Department, Mesa County Sheriff's Office",Gunshot
24,Male,Unknown race,17/07/2020,Harris,U.S. Federal Bureau of Investigation,Gunshot
33,Male,White,16/07/2020,Knox,"Texas Department of Public Safety, Knox County Sheriff's Office",Gunshot
Unknown,Male,White,16/07/2020,King,King County Sheriff's Office,Gunshot
Unknown,Male,White,16/07/2020,Lee,Lee County Sheriff's Office,Gunshot
22,Male,White,15/07/2020,Bullitt,Kentucky State Police,Gunshot
39,Male,Unknown race,15/07/2020,San Joaquin,Stockton Police Department,Gunshot
28,Male,Hispanic,14/07/2020,Luna,Deming Police Department,Gunshot
32,Male,Hispanic,14/07/2020,Knox,"Tennessee Highway Patrol, Knox County Sheriff's Office",Gunshot
43,Male,White,14/07/2020,Eaton,Eaton County Sheriff's Office,Gunshot
24,Male,White,14/07/2020,Morris,Morris Plains Police Department,Gunshot
17,Male,Black,13/07/2020,Cobb,Cobb County Police Department,Gunshot
31,Male,Unknown race,13/07/2020,Dakota,Carver County Sheriff's Office,Gunshot
59,Male,Unknown race,13/07/2020,Roane,Rockwood Police Department,Gunshot
28,Male,Unknown race,2020-12-07 00:00:00,DeKalb,"Chamblee Police Department, Brookhaven Police Department",Gunshot
47,Male,Unknown race,2020-12-07 00:00:00,Lee,Lee County Sheriff's Office,Gunshot
36,Female,White,2020-12-07 00:00:00,Montgomery,Butler Township Police Department,Gunshot
23,Male,Hispanic,2020-11-07 00:00:00,El Paso,"Colorado State Patrol, El Paso County Sheriff's Office",Gunshot
26,Male,Unknown race,2020-11-07 00:00:00,Greenville,Greenville County Sheriff's Office,Gunshot
20,Male,Black,2020-10-07 00:00:00,Wayne,Detroit Police Department,Gunshot
29,Male,Unknown race,2020-10-07 00:00:00,District of Columbia,DC Metropolitan Police Department,Gunshot
31,Male,Unknown race,2020-10-07 00:00:00,Bay,Panama City Beach Police Department,Gunshot
60,Male,White,2020-10-07 00:00:00,Sullivan,Sullivan County Sheriff's Office,Gunshot
44,Male,Unknown race,2020-09-07 00:00:00,Contra Costa,Contra Costa County Sheriff's Office,Gunshot
Unknown,Male,Hispanic,2020-09-07 00:00:00,Imperial,U.S. Customs and Border Protection,Gunshot
49,Male,Black,2020-09-07 00:00:00,San Diego,San Diego Police Department,Gunshot
37,Male,White,2020-08-07 00:00:00,Jackson,Pascagoula Police Department,Gunshot
31,Male,Black,2020-08-07 00:00:00,Ouachita,"Louisiana State Police, U.S. Marshals Service",Gunshot
36,Male,Black,2020-08-07 00:00:00,Passaic,U.S. Marshals Service,Gunshot
62,Male,White,2020-07-07 00:00:00,McMinn,"McMinn County Sheriff's Office, Athens Police Department",Gunshot
Unknown,Male,Black,2020-07-07 00:00:00,Harris,Harris County Constable's Office Precinct 3,Gunshot
36,Male,Hispanic,2020-07-07 00:00:00,Fresno,"Fresno County Sheriff's Office, California Highway Patrol",Gunshot
35,Male,Black,2020-06-07 00:00:00,Milwaukee,U.S. Department of Veterans Affairs,Gunshot
40,Male,Unknown race,2020-06-07 00:00:00,Monroe,Pennsylvania State Police,Gunshot
40,Male,White,2020-06-07 00:00:00,Orange,Ramapo Police Department,Gunshot
27,Male,Black,2020-06-07 00:00:00,St. Louis,St. Louis County Sheriff's Department,Gunshot
30,Male,Unknown race,2020-05-07 00:00:00,Delaware,Muncie Police Department,Gunshot
Unknown,,Unknown race,2020-05-07 00:00:00,San Bernardino,Pomona Police Department,Gunshot
17,Male,Hispanic,2020-04-07 00:00:00,Duval,Jacksonville Sheriff's Office,Gunshot
70,Male,Unknown race,2020-04-07 00:00:00,Maricopa,Maricopa County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,2020-04-07 00:00:00,Dallas,Irving Police Department,Gunshot
28,Male,Hispanic,2020-04-07 00:00:00,Maricopa,Phoenix Police Department,Gunshot
58,Male,Unknown race,2020-03-07 00:00:00,Clackamas,Sandy Police Department,Gunshot
31,Male,Black,2020-02-07 00:00:00,Jackson,Kansas City Police Department,Gunshot
32,Male,Black,2020-02-07 00:00:00,Sheboygan,Sheboygan Police Department,"Gunshot, Taser"
Unknown,Male,Unknown race,2020-02-07 00:00:00,Jackson,Kansas City Police Department,Gunshot
34,Male,White,2020-01-07 00:00:00,La Plata,Durango Police Department,Gunshot
49,Male,White,2020-01-07 00:00:00,Horry,Horry County Police Department,Gunshot
30,Male,Unknown race,30/06/2020,Clay,Independence Police Department,Gunshot
62,Male,Unknown race,30/06/2020,Washington,Johnson City Department,Gunshot
26,Female,White,29/06/2020,Midland,"Texas Department of Public Safety, U.S. Marshals Service",Gunshot
34,Male,Hispanic,29/06/2020,San Bernardino,"Pomona Police Department, California Highway Patrol",Gunshot
48,Male,White,29/06/2020,Luzerne,"Pennsylvania State Police, U.S. Marshals Service",Gunshot
57,Male,White,29/06/2020,McCracken,McCracken County Sheriff's Office,Gunshot
68,Male,White,28/06/2020,Montgomery,Kettering Police Department,Gunshot
25,Male,Hispanic,27/06/2020,San Diego,San Diego Police Department,Gunshot
31,Male,Unknown race,27/06/2020,Tehama,"Red Bluff Police Department, Tehama County Sheriff's Office",Gunshot
33,Male,White,27/06/2020,Boone,Boone County Sheriff’s Office,Gunshot
40,Female,White,27/06/2020,Pasco,Pasco County Sheriff's Office,Gunshot
57,Male,White,27/06/2020,Cumberland,Cumberland County Sheriff's Office,Gunshot
58,Male,Black,27/06/2020,Pulaski,Arkansas State Police,"Gunshot, Taser"
30,Male,White,26/06/2020,Elko,Nevada Highway Patrol,Gunshot
38,Male,White,26/06/2020,Delaware,"Muncie Police Department, Delaware County Sheriff's Office",Gunshot
26,Male,Black,25/06/2020,Roanoke City,Roanoke Police Department,Gunshot
27,Male,White,25/06/2020,Polk,Auburndale Police Department,Gunshot
37,Male,Hispanic,25/06/2020,Cobb,Cobb County Police Department,Gunshot
Unknown,Female,Unknown race,25/06/2020,Collin,Plano Police Department,Gunshot
34,Male,Black,25/06/2020,Craig,Oklahoma Highway Patrol,Gunshot
31,Male,Black,24/06/2020,San Bernardino,San Bernardino County Sheriff's Office,Gunshot
Unknown,Female,Asian,24/06/2020,Orange,Orange County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,24/06/2020,Harris,Memorial Villages Police Department,Gunshot
22,Male,Asian,23/06/2020,Grayson,Sherman Police Department,Gunshot
43,Male,Hispanic,23/06/2020,Pueblo,Pueblo Police Department,Gunshot
40,Male,Unknown race,23/06/2020,Matanuska-Susitna,"Alaska State Troopers, U.S. Marshals Service",Gunshot
43,Male,Black,22/06/2020,Lee,Giddings Police Department,Gunshot
51,Male,Unknown race,22/06/2020,Story,Nevada Police Department,Tasered
Unknown,Male,Unknown race,22/06/2020,Adams,"Aurora Police Department, Denver Police Department",Gunshot
Unknown,Male,Unknown race,22/06/2020,Clark,Las Vegas Metropolitan Police Department,Gunshot
Unknown,Male,Unknown race,22/06/2020,Riverside,Riverside County Sheriff's Department,Gunshot
19,Male,Unknown race,21/06/2020,Santa Clara,Milpitas Police Department,"Gunshot, Taser"
35,Male,Hispanic,20/06/2020,Calcasieu,Calcasieu Parish Sheriff's Office,Gunshot
24,Male,White,19/06/2020,Wayne,New York State Police,Gunshot
25,Male,Native American,19/06/2020,Delaware,Jay Police Department,Gunshot
18,Male,Hispanic,18/06/2020,Los Angeles,Los Angeles County Sheriff’s Department,Gunshot
19,Male,White,18/06/2020,Yellowstone,"Billings Police Department, U.S. Marshals Service",Gunshot
35,Male,White,18/06/2020,Catawba,U.S. Marshals Service,Gunshot
38,Male,White,18/06/2020,Adams,Westminster Police Department,Gunshot
31,Male,Black,17/06/2020,Kern,Los Angeles County Sheriff’s Department,Gunshot
50,Male,White,17/06/2020,Henry,Henry County Sheriff's Office,Gunshot
Unknown,Male,White,17/06/2020,Pershing,Pershing County Sheriff's Office,"Gunshot, Taser"
28,Male,Asian,17/06/2020,Honolulu,Honolulu Police Department,Physical Restraint
24,Male,Black,16/06/2020,Lake,Lake County Sheriff’s Office,Gunshot
27,Male,Black,16/06/2020,Maricopa,Phoenix Police Department,Gunshot
31,Male,White,15/06/2020,Douglas,"Kansas Highway Patrol, University of Kansas Police Department, U.S. Marshals Service",Gunshot
22,Male,White,13/06/2020,Jackson,Kansas City Police Department,Gunshot
21,Male,Hispanic,13/06/2020,San Bernardino,San Bernardino Police Department,Gunshot
25,Female,White,13/06/2020,Pettis,Pettis County Sheriff's Office,Gunshot
23,Male,Black,2020-12-06 00:00:00,Lake,Indiana State Police,Gunshot
27,Male,Black,2020-12-06 00:00:00,Fulton,Atlanta Police Department,Gunshot
28,Male,White,2020-11-06 00:00:00,DeKalb,"DeKalb County Sheriff’s Department, Smithville Police Department",Gunshot
63,Male,Black,2020-11-06 00:00:00,Los Angeles,Los Angeles County Sheriff’s Department,Gunshot
32,Male,Black,2020-11-06 00:00:00,Whitfield,Georgia State Patrol,Vehicle
42,Female,Unknown race,2020-11-06 00:00:00,Whitfield,Georgia State Patrol,Vehicle
26,Male,White,2020-10-06 00:00:00,San Luis Obispo,"California Highway Patrol, Kings County Sheriff's Office, San Luis Obispo Sheriff's Office",Gunshot
36,Male,Unknown race,2020-10-06 00:00:00,Polk,Polk County Sheriff's Office,Gunshot
59,Male,Unknown race,2020-10-06 00:00:00,Clearwater,"Lewiston Police Department, Nez Perce County Sheriff's Office",Gunshot
31,Male,White,2020-09-06 00:00:00,Arapahoe,Englewood Police Department,Gunshot
38,Male,Black,2020-09-06 00:00:00,Orange,Orange County Sheriff’s Office,Gunshot
59,Male,Unknown race,2020-09-06 00:00:00,Lake,"Montana Highway Patrol, Flathead County Sheriff's Office",Gunshot
37,Male,White,2020-09-06 00:00:00,Shasta,Redding Police Department,Tasered
81,Male,Unknown race,2020-08-06 00:00:00,Dona Ana,Las Cruces Police Department,Gunshot
35,Male,White,2020-07-06 00:00:00,Los Angeles,Los Angeles County Sheriff’s Department,Gunshot
39,Male,Unknown race,2020-07-06 00:00:00,Bates,"Bates County Sheriff’s Office, Adrian Police Department",Gunshot
26,Male,Unknown race,2020-07-06 00:00:00,Suffolk,Suffolk County Police Department,Gunshot
24,Male,Hispanic,2020-07-06 00:00:00,Kern,Kern County Sheriff's Office,Gunshot
21,Male,Unknown race,2020-06-06 00:00:00,McKinley,New Mexico State Police,Vehicle
25,Male,Unknown race,2020-06-06 00:00:00,McKinley,New Mexico State Police,Vehicle
37,Male,Unknown race,2020-06-06 00:00:00,Fentress,Fentress County Sheriff's Office,Gunshot
23,Male,Hispanic,2020-06-06 00:00:00,Alameda,California Highway Patrol,Gunshot
24,Male,Black,2020-05-06 00:00:00,Westchester,New Rochelle Police Department,Gunshot
42,Male,White,2020-05-06 00:00:00,Canadian,Mustang Police Department,Gunshot
60,Male,Unknown race,2020-05-06 00:00:00,El Paso,Socorro Police Department,Gunshot
25,Male,Hispanic,2020-03-06 00:00:00,Nueces,Corpus Christi Police Department,Gunshot
39,Female,White,2020-03-06 00:00:00,LeFlore,Poteau Police Department,Gunshot
44,Male,White,2020-03-06 00:00:00,Aiken,Aiken County Sheriff's Office,Gunshot
36,Male,White,2020-03-06 00:00:00,Saline,Alexander Police Department,Gunshot
22,Male,Hispanic,2020-02-06 00:00:00,Solano,Vallejo Police Department,Gunshot
33,Male,Black,2020-02-06 00:00:00,Kings,New York Police Department,Gunshot
65,Male,White,2020-02-06 00:00:00,Shasta,Shasta County Sheriff's Office,Gunshot
25,Male,Hispanic,2020-01-06 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
53,Male,Black,2020-01-06 00:00:00,Jefferson,Kentucky National Guard,Gunshot
36,Male,White,2020-01-06 00:00:00,Washington,U.S. Marshals Service,Gunshot
32,Male,White,31/05/2020,Jefferson,Watertown Police Department,"Gunshot, Taser"
49,Male,White,31/05/2020,Multnomah,Gresham Police Department,Gunshot
46,Male,Black,30/05/2020,Calhoun,Calhoun County Sheriff's Office,Gunshot
21,Female,Asian,29/05/2020,Hillsborough,Temple Terrace Police Department,Gunshot
32,Male,Asian,29/05/2020,San Diego,San Diego Police Department,Gunshot
34,Male,Black,29/05/2020,Philadelphia,Philadelphia Police Department,Gunshot
37,Male,White,29/05/2020,Fort Bend,Fort Bend County Sheriff's Office,Gunshot
39,Male,Black,29/05/2020,Gwinnett,"Gwinnett County Police Department, Snellville Police Department",Gunshot
Unknown,Male,White,29/05/2020,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
44,Male,Black,29/05/2020,Nassau,Fernandina Beach Police Department,Gunshot
26,Male,White,28/05/2020,Washington,Washington County Sheriff's Office,Gunshot
35,Male,Black,28/05/2020,Pulaski,North Little Rock Police Department,Gunshot
52,Male,White,28/05/2020,Weber,Ogden Police Department,Gunshot
Unknown,Male,Unknown race,28/05/2020,San Bernardino,Fontana Police Department,"Gunshot, Taser"
22,Female,White,28/05/2020,Franklin,Columbus Police Department,Chemical agent/Pepper spray
31,Male,White,28/05/2020,Arapahoe,Arapahoe County Sheriff's Office,Gunshot
30,Male,Unknown race,27/05/2020,Latimer,Wilburton Police Department,Gunshot
35,Male,Black,27/05/2020,Jefferson,Jefferson Parish Sheriff's Office,"Gunshot, Taser"
38,Transgender,Black,27/05/2020,Leon,Tallahassee Police Department,Gunshot
50,Male,Hispanic,27/05/2020,Los Angeles,Los Angeles Police Department,Gunshot
58,Male,White,27/05/2020,Livingston,"Genesee County Sheriff's Office, Le Roy Police Department, New York State Police, Livingston County Sheriff's Office",Gunshot
Unknown,Male,Hispanic,27/05/2020,Orange,Fullerton Police Department,Gunshot
Unknown,Male,Unknown race,27/05/2020,Crenshaw,"Crenshaw County Sheriff's Office, Luverne Police Department",Gunshot
18,Male,Hispanic,26/05/2020,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
22,Male,Hispanic,26/05/2020,Nueces,Corpus Christi Police Department,Gunshot
37,Male,White,26/05/2020,Ingham,Lansing Police Department,Gunshot
42,Female,White,26/05/2020,Orange,Orange County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,26/05/2020,Adams,Thornton Police Department,Gunshot
56,Male,White,26/05/2020,Tuolumne,Tuolumne County Sheriff's Office,Gunshot
61,Male,Unknown race,26/05/2020,Onondaga,New York State Police,Gunshot
61,Male,White,26/05/2020,Duval,Jacksonville Sheriff's Office,"Gunshot, Taser"
33,Male,Unknown race,25/05/2020,Galveston,League City Police Department,Gunshot
38,Male,Hispanic,25/05/2020,Harris,Houston Police Department,Gunshot
43,Male,Unknown race,25/05/2020,Washington,Washington County Sheriff's Office,Gunshot
47,Male,Unknown race,25/05/2020,Cuyahoga,Parma Heights Police Department,Gunshot
46,Male,Black,25/05/2020,Hennepin,Minneapolis Police Department,Physical Restraint
Unknown,Male,Unknown race,25/05/2020,Stanislaus,Modesto Police Department,Gunshot
28,Male,Black,25/05/2020,Maricopa,Arizona Department of Public Safety,Gunshot
49,Male,White,24/05/2020,El Paso,Colorado Springs Police Department,Tasered
52,Male,Unknown race,24/05/2020,Flathead,"Flathead County Sheriff's Office, Kalispell Police Department",Gunshot
22,Male,Hispanic,23/05/2020,Salt Lake,Salt Lake City Police Department,Gunshot
26,Male,Unknown race,23/05/2020,Passaic,Passaic County Sheriff's Office,Gunshot
57,Male,Unknown race,23/05/2020,Bell,Bell County Sheriff's Office,Gunshot
28,Male,Black,23/05/2020,Burlington,New Jersey State Police,Gunshot
20,Male,Asian,21/05/2020,Nueces,U.S. Department of Defense,Gunshot
40,Male,White,21/05/2020,Maricopa,Phoenix Police Department,Gunshot
60,Male,Black,21/05/2020,Greenwood,Greenwood Police Department,Gunshot
Unknown,Male,Unknown race,21/05/2020,Clarke,Clarke County Sheriff's Office,Gunshot
48,Male,Black,21/05/2020,Davidson,Metropolitan Nashville Police Department,Gunshot
Unknown,Male,Unknown race,20/05/2020,Brevard,Brevard County Sheriff's Office,Gunshot
